label,data
sma,David lea gåetesne.
sma,Im daejrieh.
aii,ܒܘܪܓ̰ܐ ܕ ܟ̣ܠܝܦ̮ܐ ܐܝܠܗ ܐܘ ܒܘܪܓ̰ܐ ܒܘܫ ܪܡܐ ܓܘ ܕܘܢܝ̈ܐ܂
aii,ܐܡܝܢ
aii,ܓܠܐܠܹܗ ܐܝܼܙܓܕܐ ܕ ܠܸܒ݂ܢܵܢ ܓܘ ܒܘܝܢܸܣ ܐܵܝܪܸܣ
aii,ܩܪܵܐ ܠܲܬܪܸܥܣܲܪ ܬܲܠܡܝܼܕ݂ܵܘܗܝ
aii,ܐ݇ܡܸܪܵܗ ܣܦܲܪܝܵܘܡܵܐ
arg,Lui è stato d'accordo.
arg,Grazias!
arg,T'amo.
arg,Cómo te clamas?
arg,Qué yes fendo?
arg,No sé.
arg,Aón vas?
arg,Án bibes?
arg,T'án vas?
ban,Icang ngelah cicing.
ban,Tiang ngelah cicing.
ban,Bok icang beteg.
bos,Ona ima dvadeset djecu.
bos,"Blagajnik, koji radi u samoposlugi je veoma brz."
bos,Tirana je glavni grad Albanije.
bos,Emily je Engleskinja.
bos,Da li si ti muškarac ili žena?
bos,Bio sam sretan.
bos,Bio sam ljubomoran.
bos,Bila sam ljubomorna.
bos,Bio sam juče sretan.
gla,B' e Èirisgeach a bh' innte.
gla,S' e Èirisgeach a th' ann an Tàmas.
gla,"Tha mi toilichte ur coinneachadh, a Thàmais."
gla,"Tha mi toilichte do choinneachadh, a Thàmais."
gla,Tha mòran oileanaich aca.
gla,S e oileanaich a tha annainn uile.
gla,S e oileanaich a tha ann an dithis dhinn.
gla,Cà bheil an t-oileanach?
gla,Is neònach leam gu bheil Tòmas ag ionnsachadh Fraingis.
hnj,Koj moog qhov twg?
hnj,Koj lub npe hu ua le cas?
hnj,Tus dlev nuav loj heev.
hnj,Tus dlev nuav loj lawm.
ike,Ai!
ike,Ai.
ike,"Ai, Tom."
ike,Qanuipit?
ike,Ai! Qanuipit?
ike,"Qanuipit, Mike?"
ike,"Qanuipit, Tom?"
ike,"Qanuipit? ""Qaniungi."""
ike,"Qanuipit? ""Qaniungi!"""
jdt,Амбар гоф мосох!
jdt,Чуь хабэри?
jdt,Шолум!
jdt,Худо кумек!
jdt,Е бульбуьл нуьшдебу э сер суьмбуьл.
jdt,"Амбар гоф сохугьо, амбар гьэлет мибу."
jdt,Рузэ хэир бу.
jdt,"Согъбоши, хуби."
jdt,Руз ишму э хэйр бу!
mad,Iya.
mad,Enja'.
mad,"Settong, dhue', tello, empa', lema', enem, petto', bellu', sanga', sapolo."
mad,Tom andhi' tello ana'.
mad,Tom andhi' dhue' ana'.
mad,Ce' penterra!
mad,Sakalangkong!
que,Kastilla simip hanllallinta pasaqlla pantani.
que,"Ama suway, ama llullay, ama qillay."
que,"Kamripi, Chubutpi, Kamri simiqa tukri simim."
que,Much’ananayakapushasqakupuniñataqsunamá.
que,Michiqa yanam.
que,"Hayk'a watayuqmi kanki? ""Chunka suqtayuq watayuqmi kani."""
que,"Hayk'a watayuqmi kanki? ""16 watayuqmi kani."""
que,"Imaynallam kachkanki? ""Allillanmi, añayki."""
que,Riqsinakuymanta anchatam kusikuni.
ron,N-am mai mâncat ceva de vreo trei zile.
ron,Drumul este închis.
ron,Astăzi este ziua de naștere a prietenului meu.
ron,Tom lucra pentru mine.
ron,Te rog lasă-mă să spun ceva.
ron,Poate o persoană cu adevărat să facă o diferență?
ary,أنا لن ادخن ابدا
ary,يمكن أن أقبل هذا.
ary,انه يأكل الكثير.
ary,أكرهه.
ary,يمكنني أن اسمعه.
ary,أستطيع الاستماع إلي ذلك.
ary,أتذكرها.
ary,أين هو؟
ary,ما هذا؟
grn,Omano iñakytã'aíre.
grn,Jope oñemyasãi opa che rete rupi.
grn,Taku oñemyasãi opa che rete rupi.
grn,Mba'éichapa oñemyasãi ko mba'asy?
grn,Ho'a che rehe peteĩ aratiri.
grn,Aratiri ho'a hína.
grn,Marandu vai oñemyasãi aratiri pya'éicha.
grn,Marandu vai piko!
grn,Aguereko marandu vai.
kum,"Авзундан гелген къолдан гелсе, гьар ким де пача болур эди."
kum,"Авлети ёкъну оьктемлиги ёкъ, къатыны ёкъну бир заты да ёкъ."
kum,"Кёп сёзню азы яхшы, аз сёзню оьзю яхшы."
kum,"Кёп яшагъан кёп билмес, кёпне гёрген кёп билер."
kum,"Кёпюр салгъан оьзю гечер, къую къазгъан оьзю тюшер."
kum,Шайтан булан сабангъа чыкъгъанда йимиксиз.
kum,Шагьгъа гёре бола чавуш да.
kum,Шагьбулут — шагьланы ашы.
kum,Шайтанлар шыбышлагъанда йимик.
mrj,"Пар имни кӓндӓкш ялан, ито шӹртнялтеш."
mrj,"Цеверӹн, туанвлӓ!"
mrj,"Вуйышкыжы куньырен пӹтарен, лицажат ак кай."
mrj,"Тидӹ лем агыл, тидӹ тюрвӹд."
mrj,Тытышде пелед шӹцшӹ олмаву дон вишнявлӓ.
mrj,Садвичӹштӹ кеквлӓ тытышде мырат.
mrj,Мӹнь икта вӓре тыменяш пыраш сӧрем.
mrj,Юмо – тиде пӱртӱс лиеш. Пӱртӱс ваштареш ида кай!
mrj,Калык мурыжо пӱртӱс йӱк-йӱан гыч лектеш.
pdc,Wie heischt du?
pdc,Di Furcht fumm Hah is da Ohfang funn Eisicht.
pdc,Die Furcht vum Herr iss der Ohfang vun Eisicht.
pdc,Ich heisse der Tom.
pdc,Der zwitte vun Hanning iss Grundsau Daag.
pdc,Guder Mariye!
pdc,Guder Daag!
pdc,Guder Owed!
pdc,Guti Nacht!
slv,Deseti september je svetovni dan preprečevanja samomorov.
slv,Portugalska ni izjema.
slv,Me boš prišel obiskat.
slv,Sivi so.
slv,Tom je moral v vrsti čakati tri ure.
slv,Pomahala je z obema rokama da bi jo lahko našel.
slv,Zna veliko ljudskih plesov.
slv,Ljudje so bili željni miru.
slv,Jack je v službi v obupu dal odpoved.
vep,Tervhen!
vep,Kut sinun azjad oma?
vep,Anda minei vet!
vep,Minä sön murgint.
vep,Minä pagižen vepsän kelel.
vep,Minä tulen tagaze päiväiči.
vep,Sinnä pidab mända mecröunaiči.
vep,Mö mänem mecha kaidad tehutme.
vep,Uden Vodenke!
xal,Би терүг хаҗ алхув.
xal,"Нә, ода йовий."
xal,Зәрмдән мана ээҗ КГБ-ас әәмшгтә.
xal,Мис күн биш!
xal,Тедн үрмүд?
xal,Тер күүүкд бүгд дурлдг.
xal,Миний эк тавн келәр келҗ чадна.
xal,Би өдр болһн чамтл одч чадхшв.
xal,Тедн эн асхн ТВ-гин олн бөлгтиг үзсн.
bam,Ɔwɔ.
bam,Ayi.
bam,I bisimila!
bam,Aw bisimila!
bam,I tɔgɔ bɛ di?
bam,Nɛnɛ bɛ.
bam,Funteni bɛ.
bam,I ni cɛ!
bam,Aw ni cɛ!
chv,Ку калем е кӑранташ?
chv,Япӑх ҫырать.
chv,Манӑн хль чӑнах та каймалла.
chv,Мисттӗр Митчӗл юлнӑ укҫине эрне веҫӗччен тӳлеме хушрӗ.
chv,Америккӑра пурӑнассӑм килет.
chv,Эпӗ Америккӑра пурӑнасшӑн.
chv,Тимĕр шапасен шӑлӗсем ҫук.
chv,Вӑл калать.
chv,Эпӗ каламастӑп.
fry,"Wit jo it seker, Tom?"
fry,Tom sil net maklik opjaan.
fry,Tom die dat trije wiken lyn.
fry,Ik bin sa ling as dyn.
fry,ik ha deselde problemen lykas do dy hast.
fry,Lokwinskje!
fry,Ferkeard.
fry,Sêfter.
fry,Ien hûn blaft nei ûnbekenden.
glv,Kys t’ou?
glv,Gura mie ayd!
glv,Ta mee breaw.
glv,Bretin.
glv,T'eh cummal ayns Sostyn.
glv,Cha nel sooillyn dhone ayd.
glv,Cha nel gunn echey.
glv,Vel co-earrooder noa eck?
glv,Ta'n ushtey glen.
ilo,Diak a talaga maawatan daytoy a parikut.
ilo,Indiayaannak ni Tom iti trabaho.
ilo,Saandata a matiliw.
ilo,Sagpaminsan nga umaynak kitaen.
ilo,Nakitak ni Mr Yamada iti Shinjuku Station itay bigat.
ilo,Ammo ti pusok ti kinapudno.
ilo,Nangngeg ni Tom ti tagari.
ilo,Asino ti nobiom?
ilo,Diak maawatan ti kayatna nga aramidek.
oar,די לחכימא ברמיזא.
oar,"חַד, תְּרֵין, תְּלָתָה, אַרְבְּעָה, חַמְשָׁה, שִׁתָּה, שַׁבְעָה, תְּמָנְיָא, תִּשְׁעָה, עַסְרָה."
oar,"ܚܰܕ, ܬܪ̈ܶܝܢ, ܬܠܳܬܳܐ, ܐܰܪܒܥܳܐ, ܚܰܡܫܳܐ, ܫܬܳܐ, ܫܰܒܥܳܐ, ܬܡܳܢܝܳܐ, ܬܶܫܥܳܐ, ܥܶܣܪܳܐ."
oar,ܪܚܡܢܐ ܠܝܨܠܢ
vec,Quanti ani gheto?
vec,El Burj Khalifa desso xe el pì alto gratasielo del mondo.
vec,Mi me ciamo Piero.
vec,Ti come te ciamito?
vec,Mi go vintitrì ani.
vec,Quanti ani ti gà?
vec,Da 'ndo ti vien?
vec,Bondì!
vec,Ben rivà!
aln,Tungjatjeta.
aln,Qysh je?
aln,Qysh jeni?
aln,Sa âsht ora?
aln,Ajo âsht e bukur!
aln,Mue m'ka hup nji libër.
aln,Qysh je kôn?
aln,A je kôn najher n'Shqipní?
aln,E kam pas ândërr me t'pa.
est,"Olen üritanud üle saada oma tagasihoidlikkusest, aga asjata."
est,Väga meeldiv!
est,Miks selles jões ujuda ei tohi?
est,Miks sellest jõest kala ei tohi püüda?
est,Kas vihmavesi on joodav?
est,Ole vait ja las ma mõtlen.
est,Millal sa hakkad liikuma?
est,Mina oleksin sellises olukorras uhkusest üsna puhevil.
est,Head ööd!
lin,Ndako na yó wapi?
lin,Mbwá na yó wapi?
lin,Nkómbó na yó náni?
lin,Nkómbó na ye náni?
lin,"Mbóte, nkómbó na ngáí Pekka. Nkómbó na yó náni?"
lin,Limbisa ngáí. Nkómbó na yó náni?
lin,Naloba kihispania moké.
lin,Nalobi kihispania té.
lin,Nazali na motuka you.
mal,ടോം നേരെ ഉറങ്ങാൻ പോയി.
mal,അവൾ വന്നു
mal,അവന്‍ ദയയില്ലാത്തവന്‍ ആണ്.
mal,അവള്‍ ദയയില്ലാത്തവള്‍ ആണ്.
mal,അവള്‍ നല്ല ഒരു പാചകക്കാരി ആണെന്ന് തോന്നുന്നു.
mal,എനിക്ക് ഇന്ന് ഇംഗ്ലീഷ് പഠിക്കാൻ തോന്നുന്നില്ല.
mal,ദൈവത്തിന് മുമ്പിൽ എല്ലാ മനുഷ്യരും തുല്യരാണ്.
mal,അവർ നിനക്ക് വേണ്ടി അത് ചെയ്യാൻ തയ്യാറാണ്.
mal,അമ്മയാണ് എന്നെ ഞാനാക്കിയത്.
mri,Kua tuhia e au tana nama waea.
mri,Kāore i uaua.
mri,E whakakoia ana te māripi e Tom.
mri,I ngaro tā rāua kurī i a rāua.
mri,I ngaro tā rātou kurī i a rātou.
mri,E hiahia ana ahau ki te hoki atu.
mri,E rata ana ngā tāngata katoa o konei ki a koe.
mri,Ka whakamaioha ahau ki te taea e koe te mahi i tērā mahi.
mri,Te āhua nei i te pōnānā a Tom.
nno,Han er snill.
nno,Det er omlag tre tusen moskéar i Istanbul.
nno,I Istanbul er det omtrent tre tusen moskéer.
nno,Det er i Istanbul omtrent tre tusen moskéer.
nno,Den gamle mannen hadde et edelt ansikt.
nno,"Det som er tillate for Jupiter, er ikkje tillate for oksen."
nno,Tom har vore gjennom nok.
nno,Du har vore gjennom mykje.
nno,"Viss du hadde følgd med, hadde du også vore bekymra."
sun,Hapunten.
sun,"Hiji, dua, tilu, opat, lima, genep, tujuh, dalapan, salapan, sapuluh."
sun,Ah maenya!
sun,Nami abdi Jack.
sun,Tenang.
sun,Henteu.
sun,Wilujeng wengi!
sun,Naon ieu?
sun,Ayeuna téh hujan.
tsn,Kea leboga fo tsotlhe tso o ndiretseng tsone.
tsn,Gone jaana Burj Khalifa ke kago e kgolo mo lefatsheng ka bophara.
arz,ما تلفّش و تدور.
arz,روح ساعدهم يا بضّ.
arz,إدّيني الزبدة لو سمحت.
arz,تتجوّزيني؟
arz,في الوقت ده مسمعناش غير كلام عن حرامية وجرايم قتل والناس اللي ماتت من الجوع.
arz,محتاج أجيب شوية طوابع.
arz,إستحالة أعمل كده.
arz,كل اللعب كانت مملة.
arz,ممكن آجي بكرة.
aym,Juspajaraña.
aym,"Aymar mark taypinxa, awk taykarux yäqañapuniw sapxiwa."
cos,Burj Khalifa hè actualmente u grattacelu u più altu di u mondu.
cos,Benvenutu.
cos,Duva hè u pane?
ido,La propono estas akceptita.
ido,Plu bona esas regnar en l'Inferno kam servar en la Cielo.
ido,Me sempre drinkas du tasi de kafeo en la matino.
ido,Ilu parolis tre laute.
ido,Tom ne es tre populara.
ido,Ilua nevo rezidas en Nederlando.
ido,Lua nevo rezidas en Nederlando.
ido,Lia nevo rezidas en Nederlando.
ido,Ilua nepoto rezidas en Nederlando.
lao,ສະບາຍດີ!
lao,ເຈົ້າຊື່ຫຍັງ?
lao,ດີໃຈທີ່ຮູ້ກັບເຈົ້າ.
lao,ບໍ່ເຂົ້າໃຈ.
lao,ຂອບໃຈ!
lao,ລາກ່ອນ!
lao,ຂ້ອຍໄປໂຮງຮຽນ
lao,ຂ້ອຍມີແມວສອງໂຕ
lao,ລາວຮຽນພາສາອັງກິດ ແຕ່ລາວກໍ່ຮຽນພາສາເຍຍລະມັນດ້ວຽ
myv,Паро валске!
myv,Паро чи.
myv,Паро чокшне.
myv,Кода эрятадо?
myv,Кода эрямось?
myv,Кенярдтано эйзэнк.
myv,Покш пасиба!
myv,"Эно, нама."
myv,Вастомазонок!
ppl,Se tentzun tzunkisa pak ne tenshipal.
ppl,Nijiukaw.
ppl,Nimumaktijtuk yey shiwit.
ppl,"Shitetakatili Mario, sute, ne munan metzmakas."
ppl,Intekeman nikmaktuk se pula pal kikwa ne pelu.
ppl,Miak munekit tutepalewilis.
ppl,Ká ne tajtzin Bush.
ppl,Nikwajkwalua.
ppl,Niyulkukua.
rif,Azuɣ aman iḥman.
rif,Araḥeed da.
rif,Min tegged?
rif,Min teggem?
rif,Zid!
rif,A yamcum!
rif,Zi manis cekk?
rif,Zi manis cemm?
rif,Necc zi Rumanya.
ssw,Burj Khalifa libhilidi lelidze kwengca onkhe emhlabeni.
tam,புரியவில்லை.
tam,அவன் வருவான் என எதிர் பார்க்கிறேன்
tam,வயோதிகர்களிடம் அன்பாக இரு
tam,நீ வர வேண்டுமென விரும்புகிறேன்
tam,எங்களை உதவி செய்யும்படி கேட்டான்
tam,மற்றவர்களுக்கு முன்னே நான் வந்தேன்
tam,அவள் எதற்கும் பயப்படுவதில்லை
tam,இந்த தொப்பியின் விலை என்ன?
tam,இவர்களில் யார் உன்னுடைய சகோதரர்
tmw,Bunu yapmak olacağını düşündüğümden daha zordu.
tmw,Apak kaba?
tmw,Namak akuk Jack.
tmw,Apak namak ajih?
tmw,Apak namak ong?
tmw,Namak mican Jack.
toki,mi kin li wile.
toki,tempo kama la ona li moli e mi.
toki,ni li tomo mi.
toki,mi lili lon poka ona.
toki,"mama o, sina pali e seme?"
toki,ala li pali.
toki,sina pona ala tawa mi.
toki,tempo pini la jan Mewi li meli pi jan Ton.
aoz,Pah.
aoz,Tua.
aoz,Hao.
aoz,He’.
aoz,Ya.
aoz,Kaha’.
aoz,Kahfa’.
aoz,Nek seun banit!
aoz,Obrigadu!
eus,Liburu bat erosi nuen.
eus,Orain esnatuta nago.
eus,Ez dut zure lepokoa nahi.
eus,Begira etxe hori.
eus,Leila konturatu zen Sami bizirik zegoela.
eus,Ez nuen bere azalpena ulertu.
eus,Ez zegoen maiteminduta.
eus,Ez zegoen nitaz maiteminduta.
eus,"Urgentea ez denez, beste egun batean operatuko naute"
fur,O ài doi gjats.
fur,Di cui fevelistu?
fur,La traduzion e je la lenghe de Europe.
fur,Cemût stâstu?
fur,Ce non âstu?
fur,O ven di Anglie.
fur,O ven di Australie.
fur,Fevelistu talian?
fur,Fevelistu inglês?
jam,Im letzten Jahr hab ich ein wenig zugenommen.
jam,Gud Mawnin!
jam,Gud Mawnin.
jam,Weh yuh did deh?
jam,Mi gaan!
jam,Mi gaan.
jam,"Mi gaan, Sayoko!"
jam,Wah yuh muma name?
jam,Wah yuh faada niem?
kir,Кайдан китеп сатып алсам болот?
kir,Мен Киотодон болом.
kir,Канча мышыгыңыз бар?
kir,Том сүзгөндү жакшы көрөт.
kir,Тилдери жакшы көрөм.
kir,Анын акчасы жок экен.
kir,Сүрөттө канча адам бар?
kir,Мен Кыргызстандан болом.
kir,Сен тамашалап жатасынбы?
lad,Es un pedaso de medra.
lad,Pizo medra de perro.
lad,.איל קאב׳אייו איס און אנימאל
lad,En el prinsipyo krio el Dyo los syelos i la tyerra.
lad,"I disho el Dyo, sea luz, i fue luz."
lad,El kavayo es un animal.
lad,Vos invitamos a tornar i escucharmos.
lad,Kamma?
lad,Kero avlar kon eya.
lkt,Čhaȟsníyaŋ etáŋ wáte wačhíŋ kta.
lkt,Tȟaspáŋ kiŋ wáglutapi akáŋl yaŋké.
lkt,Nihúŋ thiyáta yaŋka kta he.
lkt,Waŋblí kiŋ ská.
lkt,Žaŋžáŋla kiŋ tákuni él úŋ šni.
lkt,Oákaŋke kiŋ čháŋ kiŋ khúta hétu.
lkt,Igmú ská waŋ bluhá.
lkt,Tuwéni okíčhize ciŋ šni.
lkt,Waníyetu ú.
mlg,Tratry ny taona!
mlg,Dibera dia vita amin'ny ronono.
mlg,Tena kamo aho.
mlg,Fa maninona ianao no kamo?
mlg,Misy nosy ao anaty ranomasina.
mlg,Iza moa kay no anaranao?
mlg,Manao ahoana ianao!
mlg,Manao ahoana e!
mlg,Tonga soa e!
mwl,"Uolho por uolho, diente por diente."
mwl,Buonos dies!
mwl,Las tartuas nun tiénen dientes.
oji,Bineshiinh ishpiming.
oss,"Францагау хорз дзурыс, афтæ нæу?"
oss,Мæ багаж фесæфтис.
oss,Ай у мæ фирмæйы адрис.
oss,Мæнæн дæр æхсыр раттут.
oss,Уый згъорын байдыдта.
oss,Фыццаг хатт ыл фембæлдтæн Лондоны.
oss,Сывæллон талынгæй тæрсы.
oss,Диваныл ма сбад.
oss,Ис мæм яхтæ.
wln,D'vas li faye et goyî comm' ein' tute.
wln,"Li picård, c'est on lingaedje d'oyi."
wln,I'n'a foc qu'ein osjaux d'cat d'veins l'cervelle de s'tiesse.
wln,"Bondjoû, tortos."
wln,Vas' ti fé arèdjî !
wln,Vas' à l'djote !
wln,Vas' tchîre è Moûze !
wln,"Li France, c'est on payis del Urope coûtchantrece."
wln,I comprind bé minou sins dire mon cat.
xho,Molo!
xho,Andazi nto.
xho,Uxolo! Ndingavula ifestile na?
xho,Wamkelekile.
xho,Ndithatha incwadi.
xho,UTom ebesoyika kakhulu.
xho,Andifuni ukuya esikolweni.
xho,Uligorha.
xho,Unxibe njengomfazi.
akl,Mayad-ayad nga pad-abot.
akl,Kamusta ka?
akl,Tawag it pulis!
akl,Sunog!
akl,Kamusta.
akl,Hay.
akl,Hello.
akl,Ano ro ngaean mo?
akl,Ro ngaean ko si Tom.
bel,Твая сястра спіць.
bel,Сарві кветку.
bel,Гэта апельсін.
bel,"Калісьці я гуляла ў камп’ютарныя гульні, але цяпер аддаю перавагу карыснейшым спосабам правесці час. Напрыклад, чытанню каментарыяў у інтэрнэце."
bel,Залева з градам знішчыла сёлетні ўраджай.
bel,Ліза вяла распрацоўку новай функцыі ў асобнай галіне рэпазіторыя.
bel,Саша так любіла хадзіць па гэтых засыпаных жоўтай лістотай сцяжынках.
bel,Гэта болей не праблема.
bel,Паедзеш на поездзе?
guj,વરસાદને કારણે આ વર્ષે ગુજરાતમાં ઘણું નુકશાન થયું
guj,વરસાદને કારણે ગામડામાં જવાના રસ્તાઓ ધોવાઈ ગયાં
guj,ખેતરોમાં પાણી ભરાઈ ગયાં
guj,વરસાદને કારણે લોકોના ઘરો પાણીમાં ડૂબી ગયાં
guj,શહેરના પાક્કા રસ્તાઓ પાણી ભરાવાના કારણે તૂટી ગયાં
guj,શહેરના નીચાણવાળા વિસ્તારમાં ઘરમાં પાણી ઘુસી ગયાં
guj,અતિવૃષ્ટિનાપ્રભાવનું નીરીક્ષણ કરવા દેશના વડાપ્રધાન આવ્યા
guj,પર્યાવરણની જાળવણી ન કરવાનાં કારણો થી અતિ વરસાદ થયો હોય તેમ માનવું યોગ્ય ગણાય.
guj,તમે સારા ભાઈ-બહેન છો.
hoc,Aña'a kajiben to'o keda ci kā?
hoc,Aña'a kajipe to'o keda ci kā?
hoc,Cena'am cike thana?
hoc,Cena'ben cike thana?
hoc,Cena'ape cike thana?
hoc,Adhānañ esu paitirema.
hoc,Adhānañ esu paiti re mena'apea.
hoc,Iŋglis-em jagara?
hoc,Iŋglis-ben jagara?
izh,Hyvvää öötä!
izh,Meil on yks kirja.
izh,Ken miä oon?
izh,Miä oon inkeroin.
izh,Mikä se ono?
izh,Hänel on koira.
mdf,Няемозонк!
mdf,Бурдж-Халифа тяни сембода оцю менелькъргама.
mdf,Шачема шицень мархта!
mdf,Шачема шить мархта!
mdf,Масторъётконь авань шить мархта!
mdf,Кендалхнень аш пейхть.
mdf,Эрятама цебярь ошса.
mon,Хэн нь өндөр вэ?
mon,Энэ машин хурдан.
mon,Дараа уулзацгаая!
mon,Олон Улсын Эмэгтэйчүүдийн Баярын Мэнд Хүргэе!
mon,Яст мэлхийнүүд шүдгүй.
mon,Та цанаар гулгаж чадах уу?
mon,Би гэрээ цэвэрлэх ёстой.
mon,Би Монголд амьдарч байсан.
mon,Би байна. Орж болох уу?
pau,A Burj Khalifa a kot el metongakl el blai ra beluulechad.
pau,Alii.
pau,Alii!
pau,Ungil tutau.
pau,Ungil tutau!
pau,Ungil sueleb!
pau,Ungil sueleb.
pau,Ungil kebesengei!
pau,Ungil kebesengei.
prg,Sunnis aulaūja.
prg,Tū assei men perklantīwuns.
prg,Deiwūtan Sirzdauamziskan Gennan Dēinān!
prg,Dīnkun!
prg,Tāns ermīri gērbsenin.
prg,Michael Jackson aulaūwa.
prg,As asma gattaws gallin.
prg,Bitasīdis gattaws.
prg,As gattaws.
rom,Kon džala maj paše yekhe lache kašteste lachi učhaľin ka arakhel les.
ast,Yes mui guapa.
ast,Nun fai falta dir.
ast,Tas buenu pa dir a nengún sitiu.
ast,Tengo fame.
ast,Ye la verdá.
ast,Esti xergón ye vieyu y máncame nel renaz.
ast,Nun faes traza.
ast,¡Bienveníu!
ast,Préstame tar contigo.
brx,Ma kalamdwng?
brx,Ang
